34,78,0
55,86,0
58,67,0
34,65,0
67,50,0
89,44,0
65,33,0
56,45,0
78,55,0
76,56,0
58,64,0
33,66,0
45,55,0
78,45,0
58,62,0
56,90,0
56,78,0
58,57,0
67,33,0
56,56,0
58,89,0
45,55,0
67,22,0
44,55,0
67,33,0
66,45,0
33,56,0
55,67,0
38,78,0
56,67,0
46,47,0
67,46,0
89,30,0
67,55,0
67,48,0
35,80,0
61,59,0
57,46,0
67,46,0
39,46,0
67,44,0
57,49,0
78,56,0
48,55,0
56,89,0
78,54,0
67,56,0
58,59,0
56,60,0
58,65,0
90,78,1
67,73,1
80,69,1
78,73,1
89,60,1
76,61,1
64,67,1
63,73,1
82,63,1
93,74,1
76,78,1
64,83,1
68,75,1
89,76,1
96,90,1
97,94,1
90,88,1
66,74,1
77,80,1
83,85,1
85,81,1
87,80,1
88,90,1
66,64,1
67,78,1
88,94,1
77,73,1
65,66,1
90,98,1
96,83,1
97,84,1
98,73,1
99,66,1
99,98,1
88,76,1
67,84,1
88,93,1
76,62,1
88,60,1
89,71,1
73,72,1
63,75,1
79,85,1
68,75,1
66,90,1
78,94,1
70,66,1
65,65,1
73,98,1
93,60,1


