4.74,7.44
5.88,7.52
3.99,7.12
3.55,7.55
3.23,6.12
4.25,8.48
4.66,8.89
2.53,9.22
2.36,9.20
4.26,7.74
4.98,8.84
3.18,7.98
4.90,9.86
4.55,8.57
2.23,9.75
2.95,8.49
4.67,6.21
4.03,7.02
3.36,9.20
4.20,6.04
3.43,7.14
3.82,8.22
3.99,8.12
4.55,8.65
4.32,9.23
4.77,9.45
3.26,9.66
4.08,7.28
2.96,7.97
4.79,8.64
5.46,4.33
6.32,4.59
7.22,3.12
8.15,3.95
5.66,3.81
6.83,2.51
7.47,4.71
8.70,4.05
6.54,3.88
5.35,3.01
6.07,4.44
6.50,5.77
5.37,4.88
7.74,3.66
7.90,2.80
8.25,3.00
7.59,3.36
6.43,4.16
7.51,4.60
7.58,3.39
7.50,4.25
5.72,4.46
7.02,5.57
6.56,4.28
5.47,3.77
8.68,3.85
8.06,3.92
9.53,4.09
8.79,2.04
8.96,4.94
7.14,8.04
7.31,7.80
7.24,9.45
8.35,9.01
8.56,7.89
8.34,6.40
9.76,9.69
9.29,9.38
9.59,8.68
9.04,8.60
7.78,7.16
7.19,7.24
7.37,9.51
8.14,9.60
8.15,7.35
8.96,8.65
9.11,9.22
8.37,9.46
9.32,7.63
9.15,8.19
9.00,8.09
8.38,7.18
8.27,8.19
8.21,8.06
8.26,9.47
9.30,9.88
9.40,8.83
9.20,9.62
7.79,8.90
7.47,7.98
9.70,8.03
7.38,9.08
6.36,8.17
9.62,9.09
9.11,6.80
7.85,6.81
9.17,5.13
5.87,3.95
8.41,5.02
8.87,5.44
